contributors,coordinates,created_at,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quote_count,quoted_status-extended_tweet-full_text,quoted_status-text,quoted_status-user-screen_name,quoted_status_id,quoted_status_id_str,reply_count,retweet_count,retweeted,retweeted_status-extended_tweet-full_text,retweeted_status-text,retweeted_status-user-screen_name,source,text,timestamp_ms,truncated,user-screen_name,withheld_in_countries
,,Wed Jan 31 03:51:59 +0000 2018,,0,False,low,,958548390052179968,958548390052179968,,,,,,False,en,,,0,,,,,,0,0,False,"A PERFECT ANALOGY:

Several democrats are bringing illegal aliens as guests to the State of the Union. Instead of filling those seats with Americans, illegal aliens are getting priority seating.

Yes, you are being replaced by illegal aliens. Do you get it?
#TuesdayThoughts #SOTU","A PERFECT ANALOGY:

Several democrats are bringing illegal aliens as guests to the State of the Union. Instead of f… https://t.co/iTycesHz8x",ScottPresler,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ScottPresler: A PERFECT ANALOGY:

Several democrats are bringing illegal aliens as guests to the State of the Union. Instead of filling…",1517370719813,False,MatthewJAld,
,,Wed Jan 31 03:55:33 +0000 2018,,0,False,low,,958549287285215232,958549287285215232,,,,,,False,en,,,0,,,,,,0,0,False,,"President Trump invited families of Americans killed by MS-13 to the #SOTU. 

Democrats invited illegal immigrants. 

Let that sink in.",RealJack,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RealJack: President Trump invited families of Americans killed by MS-13 to the #SOTU. 

Democrats invited illegal immigrants. 

Let tha…",1517370933730,False,broussard_sr,
,,Wed Jan 31 03:09:22 +0000 2018,,0,False,low,,958537665334296577,958537665334296577,,,,,,False,en,,,0,,,,,,0,0,False,,"Don't you be fooled by any of his White Supremacist theater. Trump is using these stories to attempt to put us against each other.

#SOTU",UNITEDWEDREAM,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @UNITEDWEDREAM: Don't you be fooled by any of his White Supremacist theater. Trump is using these stories to attempt to put us against e…,1517368162841,False,CLSTEPHANY,
,,Wed Jan 31 02:36:19 +0000 2018,,0,False,low,,958529347828305921,958529347828305921,,,,,,False,en,,,0,,,,,,0,0,False,,Uh-oh. Our president mentioned the FIRST and SECOND amendment- a Democrat's worst nightmare. #SOTU,TomiLahren,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @TomiLahren: Uh-oh. Our president mentioned the FIRST and SECOND amendment- a Democrat's worst nightmare. #SOTU,1517366179793,False,DAWNSTUTESMAN,
,,Wed Jan 31 02:46:24 +0000 2018,,0,False,low,,958531885424173057,958531885424173057,,,,,,False,en,,,0,,,,,,0,0,False,"Tonight isn't about memos, fake news, free things or illegal immigrants. It's not even about Trump. It's about YOU. It's about US. The American people. #SOTU","Tonight isn't about memos, fake news, free things or illegal immigrants. It's not even about Trump. It's about YOU.… https://t.co/RCsW9muHgt",TomiLahren,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TomiLahren: Tonight isn't about memos, fake news, free things or illegal immigrants. It's not even about Trump. It's about YOU. It's ab…",1517366784803,False,SCischk,
,,Wed Jan 31 02:38:55 +0000 2018,,0,False,low,,958530002026364928,958530002026364928,,,,,,False,en,,,0,,,,,,0,0,False,"Notice he doesn’t lean, look or even notice anything on his right.  For those on the left, this is what the other half felt like every #sotu  between 08-16.The first 20 minutes has been a delicious and well written declaration of what the right has waited to hear. #iloveTHIStrump","Notice he doesn’t lean, look or even notice anything on his right.  For those on the left, this is what the other h… https://t.co/8BxpUP2BfB",glennbeck,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @glennbeck: Notice he doesn’t lean, look or even notice anything on his right.  For those on the left, this is what the other half felt…",1517366335766,False,bceil,
,,Wed Jan 31 03:11:05 +0000 2018,,0,False,low,,958538097620332545,958538097620332545,,,,,,False,en,,,0,,,,,,0,0,False,,".@POTUS: ""We all share the same home, the same heart, the same destiny, and the same great American flag."" #SOTU",PressSec,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PressSec: .@POTUS: ""We all share the same home, the same heart, the same destiny, and the same great American flag."" #SOTU",1517368265906,False,JimJestedm,
,,Wed Jan 31 03:48:59 +0000 2018,"{'media': [{'id': 958544874046857216, 'id_str': '958544874046857216', 'indices': [88, 111], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/958544874046857216/pu/img/Q5vXEtRlP9i5i2pi.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/958544874046857216/pu/img/Q5vXEtRlP9i5i2pi.jpg', 'url': 'https://t.co/BxMREfTMcr', 'display_url': 'pic.twitter.com/BxMREfTMcr', 'expanded_url': 'https://twitter.com/Fuctupmind/status/958544952660774912/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 958544952660774912, 'source_status_id_str': '958544952660774912', 'source_user_id': 139499789, 'source_user_id_str': '139499789', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 16190, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/958544874046857216/pu/vid/1280x720/d_5D4L3tiC7qW_Fn.mp4'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/958544874046857216/pu/vid/640x360/A4LSA975-bntL1cU.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/958544874046857216/pu/pl/XDNVdeliNt5OqpLA.m3u8'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/958544874046857216/pu/vid/320x180/YQkfSCv7XaV44Z88.mp4'}]}}]}",0,False,low,,958547635228430337,958547635228430337,,,,,,False,en,,False,0,,,,,,0,0,False,,"The Nancy Pelosi ""I got a $1000 crumb stuck in my dentures"" remix #SOTU https://t.co/BxMREfTMcr",Fuctupmind,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Fuctupmind: The Nancy Pelosi ""I got a $1000 crumb stuck in my dentures"" remix #SOTU https://t.co/BxMREfTMcr",1517370539849,False,CaliConsrvative,
,,Wed Jan 31 03:05:15 +0000 2018,,0,False,low,,958536628879929344,958536628879929344,,,,,,False,en,,False,0,,,,,,0,0,False,,"STUNNING FIRST LADY MELANIA TRUMP Given Rock Star Welcome at #SOTU Address (VIDEO) 

https://t.co/FShm40Y2YI",SonofLiberty357,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SonofLiberty357: STUNNING FIRST LADY MELANIA TRUMP Given Rock Star Welcome at #SOTU Address (VIDEO) 

https://t.co/FShm40Y2YI",1517367915731,False,oilaman,
,,Wed Jan 31 03:51:26 +0000 2018,,0,False,low,,958548251950665728,958548251950665728,,,,,,False,en,,,0,,,,,,0,0,False,"I am about to puke. Watching the Democrat rebuttal and Joe Kennedy III needs to clean that froth crap around his mouth. 
#SOTU #POTUS #StateofOurUnion",I am about to puke. Watching the Democrat rebuttal and Joe Kennedy III needs to clean that froth crap around his mo… https://t.co/E0znC6e3Ps,KamVTV,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KamVTV: I am about to puke. Watching the Democrat rebuttal and Joe Kennedy III needs to clean that froth crap around his mouth. 
#SOTU…",1517370686887,False,kimmieguy,
