track_id,popularity
118GQ70Sp6pMqn6w1oKuki,7.0
6S7cr72a7a8RVAXzDCRj6m,7.0
7h2qWpMJzIVtiP30E8VDW4,7.0
3KVQFxJ5CWOcbxdpPYdi4o,7.0
0JjNrI1xmsTfhaiU1R6OVc,7.0
3HjTcZt29JUHg5m60QhlMw,7.0
42LWRdkWxM9aWmDImWvH6C,7.0
32dMH9MvlTJaABrPHY52Yb,7.0
5RCPsfzmEpTXMCTNk7wEfQ,7.0
0y0mwXrdEzjUK5Nq8GDPnY,7.0
3RSMqu36JZnmMkrnNmnqyd,6.0
1o0fkWCltFHVeFIRHqvR5b,6.0
2iGShSeV6WcDbez5SLJ2bJ,6.0
2rNTo0tGUMW6rn0uHzV5er,6.0
5Egkx8edirN0pR2R58C2ME,6.0
67r3lnzstENsRYlZWq6DYP,6.0
4X8W9SSu9D5MujoxwIwqw6,6.0
4lncSzeN8WOH2iHEO593iZ,6.0
1L67mcddFQ65MfA3wO3MHV,6.0
21DU83QG4jB4mQKh76X32h,6.0
08nyEVO684j7pcTAhEY2zJ,6.0
4LMVmlX8WXPu8OyPwzkNpR,6.0
7JYCpIzpoidDOnnmxmHwtj,6.0
0mmFibEg5NuULMwTVN2tRU,6.0
